Transaction_ID,Date,Month,Day_of_Week,Is_Weekend,Time_of_Order,Time_Slot,Weather,Temperature_°C,Academic_Period,Customer_Segment,Table_No,Order_Type,Item_Name,Category,Is_Vegetarian,Price_Tier,Base_Price_₹,Quantity_Units,Daily_Footfall_Customers,Revenue_₹,ABC_Class
1001,2024-05-01,May,Wednesday,No,15:41,Evening,Clear After Rain,31.2,Summer Vacation,Couple-Group,9,Dine-in,Thai Iced Coffee,Cold Brews,Yes,Mid-range,200,1,65,200,B
1002,2024-05-01,May,Wednesday,No,15:41,Evening,Clear After Rain,31.2,Summer Vacation,Couple-Group,9,Dine-in,Cubanos,Sandwiches Burgers Wraps,No,Mid-range,250,2,65,500,A
1003,2024-05-01,May,Wednesday,No,15:41,Evening,Clear After Rain,31.2,Summer Vacation,Couple-Group,9,Dine-in,Triple Decker Sandwich,Sandwiches Burgers Wraps,No,Mid-range,285,1,65,285,A
1004,2024-05-01,May,Wednesday,No,20:32,Dinner,Clear After Rain,31.2,Summer Vacation,Couple-Group,20,Dine-in,Crème Brulee,Dessert,Yes,Mid-range,225,1,65,225,A
1005,2024-05-01,May,Wednesday,No,20:32,Dinner,Clear After Rain,31.2,Summer Vacation,Couple-Group,20,Dine-in,Cajun Chicken,Blended Full Meals,No,Premium,589,1,65,589,A
1006,2024-05-01,May,Wednesday,No,20:32,Dinner,Clear After Rain,31.2,Summer Vacation,Couple-Group,20,Dine-in,Lemon Coriander Soup,Soup,Yes,Budget,179,1,65,179,B
1007,2024-05-01,May,Wednesday,No,15:55,Evening,Clear After Rain,31.2,Summer Vacation,Professional,8,Dine-in,Green Tea,Hot Beverages,Yes,Budget,150,1,65,150,C
1008,2024-05-01,May,Wednesday,No,15:55,Evening,Clear After Rain,31.2,Summer Vacation,Professional,8,Dine-in,Spicy Chicken Pao,Sandwiches Burgers Wraps,No,Budget,159,2,65,318,B
1009,2024-05-01,May,Wednesday,No,15:55,Evening,Clear After Rain,31.2,Summer Vacation,Professional,8,Dine-in,Triple Decker Sandwich,Sandwiches Burgers Wraps,No,Mid-range,285,1,65,285,A
1010,2024-05-01,May,Wednesday,No,15:55,Evening,Clear After Rain,31.2,Summer Vacation,Professional,8,Dine-in,Fish Fillet Burger,Sandwiches Burgers Wraps,No,Mid-range,350,1,65,350,A
1011,2024-05-01,May,Wednesday,No,21:35,Dinner,Clear After Rain,31.2,Summer Vacation,Couple-Group,3,Dine-in,Spaghetti Aglio Olio,Pasta,Yes,Mid-range,385,1,65,385,A
1012,2024-05-01,May,Wednesday,No,21:35,Dinner,Clear After Rain,31.2,Summer Vacation,Couple-Group,3,Dine-in,Mushroom Parma Bruschetta,Share-A-Plate,Yes,Mid-range,285,1,65,285,A
1013,2024-05-01,May,Wednesday,No,18:13,Evening,Clear After Rain,31.2,Summer Vacation,College,9,Dine-in,Grilled Chicken Burger,Sandwiches Burgers Wraps,No,Mid-range,220,1,65,220,A
1014,2024-05-01,May,Wednesday,No,18:13,Evening,Clear After Rain,31.2,Summer Vacation,College,9,Dine-in,Loaded Nachos,Share-A-Plate,Yes,Mid-range,210,1,65,210,A
1015,2024-05-01,May,Wednesday,No,19:58,Dinner,Clear After Rain,31.2,Summer Vacation,Family,2,Dine-in,Chocolate Walnut Brownie,Dessert,Yes,Mid-range,200,2,65,400,A
1016,2024-05-01,May,Wednesday,No,19:58,Dinner,Clear After Rain,31.2,Summer Vacation,Family,2,Dine-in,Virgin Mojito,Mocktails,Yes,Budget,140,1,65,140,A
1017,2024-05-01,May,Wednesday,No,11:03,Morning,Clear After Rain,31.2,Summer Vacation,Professional,19,Dine-in,Fresh Fruit Tart,Dessert,Yes,Mid-range,225,1,65,225,B
