Transaction_ID,Date,Item_Name,Category,Price_Tier,ABC_Class,Segment,Month_encoded,Day_of_Week_encoded,Is_Weekend_encoded,Order_Minute,Academic_Period_encoded,Slot_Morning,Slot_Afternoon,Slot_Evening,Slot_Dinner,Weather_Dry_Day,Weather_Light_Drizzle,Weather_Heavy_Rain,Weather_Clear_After_Rain,Temperature_°C,Daily_Footfall_Customers,Seg_College,Seg_Professional,Seg_Couple_Group,Seg_Family,Category_encoded,Price_Tier_encoded,Base_Price_₹,Is_Vegetarian_encoded,Elasticity_Coefficient,Pricing_Segment_encoded,Quantity_Units,Split
1001,2024-05-01,Thai Iced Coffee,Cold Brews,Mid-range,B,Promotional Item,0,2,0,941,0,0,0,1,0,0,0,0,1,31.2,65,0,0,1,0,4,1,200,1,26.6667,2,1,train
1002,2024-05-01,Cubanos,Sandwiches Burgers Wraps,Mid-range,A,Premium Lock,0,2,0,941,0,0,0,1,0,0,0,0,1,31.2,65,0,0,1,0,19,1,250,0,0.0,1,2,train
1003,2024-05-01,Triple Decker Sandwich,Sandwiches Burgers Wraps,Mid-range,A,Dynamic Pricing Target,0,2,0,941,0,0,0,1,0,0,0,0,1,31.2,65,0,0,1,0,19,1,285,0,8.8889,0,1,train
1004,2024-05-01,Crème Brulee,Dessert,Mid-range,A,Dynamic Pricing Target,0,2,0,1232,0,0,0,0,1,0,0,0,1,31.2,65,0,0,1,0,6,1,225,1,80.0,0,1,train
1005,2024-05-01,Cajun Chicken,Blended Full Meals,Premium,A,Dynamic Pricing Target,0,2,0,1232,0,0,0,0,1,0,0,0,1,31.2,65,0,0,1,0,1,2,589,0,33.3333,0,1,train
1006,2024-05-01,Lemon Coriander Soup,Soup,Budget,B,Promotional Item,0,2,0,1232,0,0,0,0,1,0,0,0,1,31.2,65,0,0,1,0,21,0,179,1,3.3333,2,1,train
1007,2024-05-01,Green Tea,Hot Beverages,Budget,C,Review Item,0,2,0,955,0,0,0,1,0,0,0,0,1,31.2,65,0,1,0,0,9,0,150,1,0.0,3,1,train
1008,2024-05-01,Spicy Chicken Pao,Sandwiches Burgers Wraps,Budget,B,Promotional Item,0,2,0,955,0,0,0,1,0,0,0,0,1,31.2,65,0,1,0,0,19,0,159,0,2.5,2,2,train
1009,2024-05-01,Triple Decker Sandwich,Sandwiches Burgers Wraps,Mid-range,A,Dynamic Pricing Target,0,2,0,955,0,0,0,1,0,0,0,0,1,31.2,65,0,1,0,0,19,1,285,0,8.8889,0,1,train
1010,2024-05-01,Fish Fillet Burger,Sandwiches Burgers Wraps,Mid-range,A,Dynamic Pricing Target,0,2,0,955,0,0,0,1,0,0,0,0,1,31.2,65,0,1,0,0,19,1,350,0,13.3333,0,1,train
1011,2024-05-01,Spaghetti Aglio Olio,Pasta,Mid-range,A,Dynamic Pricing Target,0,2,0,1295,0,0,0,0,1,0,0,0,1,31.2,65,0,0,1,0,15,1,385,1,33.3333,0,1,train
1012,2024-05-01,Mushroom Parma Bruschetta,Share-A-Plate,Mid-range,A,Premium Lock,0,2,0,1295,0,0,0,0,1,0,0,0,1,31.2,65,0,0,1,0,20,1,285,1,0.0,1,1,train
1013,2024-05-01,Grilled Chicken Burger,Sandwiches Burgers Wraps,Mid-range,A,Dynamic Pricing Target,0,2,0,1093,0,0,0,1,0,0,0,0,1,31.2,65,1,0,0,0,19,1,220,0,21.6667,0,1,train
1014,2024-05-01,Loaded Nachos,Share-A-Plate,Mid-range,A,Premium Lock,0,2,0,1093,0,0,0,1,0,0,0,0,1,31.2,65,1,0,0,0,20,1,210,1,1.1905,1,1,train
1015,2024-05-01,Chocolate Walnut Brownie,Dessert,Mid-range,A,Dynamic Pricing Target,0,2,0,1198,0,0,0,0,1,0,0,0,1,31.2,65,0,0,0,1,6,1,200,1,6.6667,0,2,train
1016,2024-05-01,Virgin Mojito,Mocktails,Budget,A,Dynamic Pricing Target,0,2,0,1198,0,0,0,0,1,0,0,0,1,31.2,65,0,0,0,1,13,0,140,1,5.4167,0,1,train
1017,2024-05-01,Fresh Fruit Tart,Dessert,Mid-range,B,Promotional Item,0,2,0,663,0,1,0,0,0,0,0,0,1,31.2,65,0,1,0,0,6,1,225,1,60.0,2,1,train
1018,2024-05-01,Mushroom Parma Omelette,Classic Eggs,Mid-range,A,Dynamic Pricing Target,0,2,0,966,0,0,0,1,0,0,0,0,1,31.2,65,0,0,1,0,2,1,279,0,100.0,0,1,train
1019,2024-05-01,Iced Caramel Latte,Cold Brews,Mid-range,A,Dynamic Pricing Target,0,2,0,966,0,0,0,1,0,0,0,0,1,31.2,65,0,0,1,0,4,1,200,1,120.0,0,1,train
1020,2024-05-01,Exotic Vegetable Omelette,Classic Eggs,Mid-range,A,Dynamic Pricing Target,0,2,0,1039,0,0,0,1,0,0,0,0,1,31.2,65,0,0,0,1,2,1,239,1,5.0,0,1,train
1021,2024-05-01,Chicken Puff,Bakery,Budget,C,Promotional Item,0,2,0,1056,0,0,0,1,0,0,0,0,1,31.2,65,0,1,0,0,0,0,100,0,6.6667,2,1,train
1022,2024-05-01,Honey Ginger Lime Tea,Hot Beverages,Budget,A,Dynamic Pricing Target,0,2,0,1056,0,0,0,1,0,0,0,0,1,31.2,65,0,1,0,0,9,0,170,1,4.2857,0,1,train
1023,2024-05-01,Fish Fillet Burger,Sandwiches Burgers Wraps,Mid-range,A,Dynamic Pricing Target,0,2,0,1056,0,0,0,1,0,0,0,0,1,31.2,65,0,1,0,0,19,1,350,0,13.3333,0,1,train
1024,2024-05-01,Exotic Vegetable Omelette,Classic Eggs,Mid-range,A,Dynamic Pricing Target,0,2,0,1056,0,0,0,1,0,0,0,0,1,31.2,65,0,1,0,0,2,1,239,1,5.0,0,1,train
1025,2024-05-01,Cappuccino,Hot Brews,Budget,A,Premium Lock,0,2,0,1028,0,0,0,1,0,0,0,0,1,31.2,65,0,0,1,0,10,0,160,1,0.3333,1,2,train
1026,2024-05-01,Grilled Chicken Burger,Sandwiches Burgers Wraps,Mid-range,A,Dynamic Pricing Target,0,2,0,1028,0,0,0,1,0,0,0,0,1,31.2,65,0,0,1,0,19,1,220,0,21.6667,0,1,train
1027,2024-05-01,Chicken Cream & Cheddar Soup,Soup,Mid-range,B,Promotional Item,0,2,0,1277,0,0,0,0,1,0,0,0,1,31.2,65,0,0,1,0,21,1,229,0,4.4444,2,1,train
1028,2024-05-01,Bounty Hot Chocolate,Hot Chocolate,Budget,C,Promotional Item,0,2,0,1277,0,0,0,0,1,0,0,0,1,31.2,65,0,0,1,0,11,0,190,1,2.5,2,1,train
1029,2024-05-01,Marshmallow Hot Chocolate,Hot Chocolate,Mid-range,A,Dynamic Pricing Target,0,2,0,1046,0,0,0,1,0,0,0,0,1,31.2,65,1,0,0,0,11,1,200,1,3.0303,0,1,train
1030,2024-05-01,Cheese Lovers Pizza,Pizza,Premium,A,Dynamic Pricing Target,0,2,0,1185,0,0,0,0,1,0,0,0,1,31.2,65,0,0,1,0,16,2,635,1,13.3333,0,1,train
1031,2024-05-01,Oyster Chicken Dumplings,Steam Basket,Mid-range,C,Promotional Item,0,2,0,1185,0,0,0,0,1,0,0,0,1,31.2,65,0,0,1,0,22,1,389,0,3.3333,2,1,train
1032,2024-05-01,Honey Ginger Lime Tea,Hot Beverages,Budget,A,Dynamic Pricing Target,0,2,0,1190,0,0,0,0,1,0,0,0,1,31.2,65,0,1,0,0,9,0,170,1,4.2857,0,1,train
1033,2024-05-01,Masala Chai,Hot Beverages,Budget,A,Premium Lock,0,2,0,1140,0,0,0,0,1,0,0,0,1,31.2,65,0,0,0,1,9,0,120,1,1.875,1,1,train
1034,2024-05-01,Honey Ginger Lime Tea,Hot Beverages,Budget,A,Dynamic Pricing Target,0,2,0,1140,0,0,0,0,1,0,0,0,1,31.2,65,0,0,0,1,9,0,170,1,4.2857,0,1,train
1035,2024-05-01,Dark Hot Chocolate,Hot Chocolate,Budget,A,Dynamic Pricing Target,0,2,0,1140,0,0,0,0,1,0,0,0,1,31.2,65,0,0,0,1,11,0,120,1,2.5926,0,1,train
1036,2024-05-01,Mushroom Parma Omelette,Classic Eggs,Mid-range,A,Dynamic Pricing Target,0,2,0,991,0,0,0,1,0,0,0,0,1,31.2,65,0,1,0,0,2,1,279,0,100.0,0,2,train
1037,2024-05-01,Triple Decker Sandwich,Sandwiches Burgers Wraps,Mid-range,A,Dynamic Pricing Target,0,2,0,991,0,0,0,1,0,0,0,0,1,31.2,65,0,1,0,0,19,1,285,0,8.8889,0,1,train
1038,2024-05-01,Pesto Omelette,Classic Eggs,Mid-range,A,Dynamic Pricing Target,0,2,0,991,0,0,0,1,0,0,0,0,1,31.2,65,0,1,0,0,2,1,285,0,4.0,0,1,train
1039,2024-05-01,Grilled Cheese Sandwich,Sandwiches Burgers Wraps,Budget,A,Dynamic Pricing Target,0,2,0,991,0,0,0,1,0,0,0,0,1,31.2,65,0,1,0,0,19,0,199,1,10.0,0,1,train
1040,2024-05-01,Crispy Shitake Mushroom,Share-A-Plate,Premium,A,Dynamic Pricing Target,0,2,0,1172,0,0,0,0,1,0,0,0,1,31.2,65,0,1,0,0,20,2,450,1,3.3333,0,2,train
1041,2024-05-01,Espresso,Hot Brews,Budget,A,Premium Lock,0,2,0,1172,0,0,0,0,1,0,0,0,1,31.2,65,0,1,0,0,10,0,110,1,1.0256,1,1,train
1042,2024-05-01,Honey Chili Lotus Stem,Share-A-Plate,Mid-range,A,Premium Lock,0,2,0,1194,0,0,0,0,1,0,0,0,1,31.2,65,1,0,0,0,20,1,220,1,1.1111,1,1,train
1043,2024-05-01,Cheese Lovers Pizza,Pizza,Premium,A,Dynamic Pricing Target,0,2,0,1194,0,0,0,0,1,0,0,0,1,31.2,65,1,0,0,0,16,2,635,1,13.3333,0,1,train
1044,2024-05-01,Pad Thai,Blended Full Meals,Mid-range,A,Premium Lock,0,2,0,1235,0,0,0,0,1,0,0,0,1,31.2,65,0,0,1,0,1,1,369,1,1.1111,1,1,train
1045,2024-05-02,Cheesy Potatoes,Wholesome Breakfast,Mid-range,C,Promotional Item,0,3,0,665,0,1,0,0,0,1,0,0,0,35.5,49,1,0,0,0,23,1,215,1,6.6667,2,1,train
1046,2024-05-02,Classic Pancakes,Pancakes & Waffwich,Mid-range,A,Dynamic Pricing Target,0,3,0,665,0,1,0,0,0,1,0,0,0,35.5,49,1,0,0,0,14,1,250,1,13.3333,0,1,train
1047,2024-05-02,Chicken Puff,Bakery,Budget,C,Promotional Item,0,3,0,665,0,1,0,0,0,1,0,0,0,35.5,49,1,0,0,0,0,0,100,0,6.6667,2,1,train
1048,2024-05-02,Mocha Frappe,Frappe,Budget,B,Promotional Item,0,3,0,954,0,0,0,1,0,1,0,0,0,35.5,49,0,1,0,0,8,0,190,1,40.0,2,1,train
1049,2024-05-02,Lotus Biscoff Shake,Premium Shakes,Mid-range,A,Dynamic Pricing Target,0,3,0,954,0,0,0,1,0,1,0,0,0,35.5,49,0,1,0,0,17,1,400,1,8.3333,0,1,train
1050,2024-05-02,Mushroom Parma Omelette,Classic Eggs,Mid-range,A,Dynamic Pricing Target,0,3,0,954,0,0,0,1,0,1,0,0,0,35.5,49,0,1,0,0,2,1,279,0,100.0,0,2,train
1051,2024-05-02,Ice-cream Waffwich,Pancakes & Waffwich,Mid-range,C,Review Item,0,3,0,495,0,1,0,0,0,1,0,0,0,35.5,49,0,0,0,1,14,1,269,1,1.6667,3,1,train
1052,2024-05-02,Chocolate Chip Cookie,Bakery,Budget,C,Promotional Item,0,3,0,495,0,1,0,0,0,1,0,0,0,35.5,49,0,0,0,1,0,0,50,1,11.6667,2,2,train
1053,2024-05-02,Chicken And Cheese Balls,Share-A-Plate,Mid-range,A,Dynamic Pricing Target,0,3,0,827,0,0,1,0,0,1,0,0,0,35.5,49,1,0,0,0,20,1,375,0,13.3333,0,1,train
1054,2024-05-02,Bombay Masala Sandwich,Sandwiches Burgers Wraps,Budget,B,Promotional Item,0,3,0,827,0,0,1,0,0,1,0,0,0,35.5,49,1,0,0,0,19,0,139,1,80.0,2,1,train
1055,2024-05-02,Chicken And Cheese Balls,Share-A-Plate,Mid-range,A,Dynamic Pricing Target,0,3,0,896,0,0,1,0,0,1,0,0,0,35.5,49,1,0,0,0,20,1,375,0,13.3333,0,1,train
1056,2024-05-02,Brownie Blast Shake,Premium Shakes,Mid-range,A,Dynamic Pricing Target,0,3,0,896,0,0,1,0,0,1,0,0,0,35.5,49,1,0,0,0,17,1,260,1,5.5556,0,1,train
1057,2024-05-02,Chai,Hot Beverages,Budget,B,Promotional Item,0,3,0,1122,0,0,0,1,0,1,0,0,0,35.5,49,0,1,0,0,9,0,100,1,7.2222,2,1,train
1058,2024-05-02,Spiced Mocha Latte,Hot Brews,Budget,A,Premium Lock,0,3,0,1122,0,0,0,1,0,1,0,0,0,35.5,49,0,1,0,0,10,0,180,1,0.0,1,1,train
1059,2024-05-02,Chai,Hot Beverages,Budget,B,Promotional Item,0,3,0,522,0,1,0,0,0,1,0,0,0,35.5,49,1,0,0,0,9,0,100,1,7.2222,2,2,train
1060,2024-05-02,Iced Café Latte,Cold Brews,Budget,A,Dynamic Pricing Target,0,3,0,798,0,0,1,0,0,1,0,0,0,35.5,49,0,1,0,0,4,0,160,1,86.6667,0,1,train
1061,2024-05-02,Fresh Fruit Juice,Cold Beverages,Mid-range,B,Promotional Item,0,3,0,798,0,0,1,0,0,1,0,0,0,35.5,49,0,1,0,0,3,1,200,1,8.3333,2,1,train
1062,2024-05-02,Mexican Vegetable Stew And Rice,Blended Full Meals,Mid-range,A,Dynamic Pricing Target,0,3,0,798,0,0,1,0,0,1,0,0,0,35.5,49,0,1,0,0,1,1,329,1,3.3333,0,1,train
1063,2024-05-02,Cappuccino,Hot Brews,Budget,A,Premium Lock,0,3,0,1005,0,0,0,1,0,1,0,0,0,35.5,49,0,1,0,0,10,0,160,1,0.3333,1,1,train
1064,2024-05-02,Pesto Omelette,Classic Eggs,Mid-range,A,Dynamic Pricing Target,0,3,0,1005,0,0,0,1,0,1,0,0,0,35.5,49,0,1,0,0,2,1,285,0,4.0,0,1,train
1065,2024-05-02,Crème Chocolate Pancakes,Pancakes & Waffwich,Mid-range,B,Review Item,0,3,0,494,0,1,0,0,0,1,0,0,0,35.5,49,0,0,1,0,14,1,275,1,1.6667,3,1,train
1066,2024-05-02,Grilled Cheese Sandwich,Sandwiches Burgers Wraps,Budget,A,Dynamic Pricing Target,0,3,0,1060,0,0,0,1,0,1,0,0,0,35.5,49,0,1,0,0,19,0,199,1,10.0,0,1,train
1067,2024-05-02,Affogato,Hot Brews,Budget,A,Dynamic Pricing Target,0,3,0,1060,0,0,0,1,0,1,0,0,0,35.5,49,0,1,0,0,10,0,170,1,3.3333,0,1,train
1068,2024-05-02,Honey Chili Lotus Stem,Share-A-Plate,Mid-range,A,Premium Lock,0,3,0,1170,0,0,0,0,1,1,0,0,0,35.5,49,0,0,1,0,20,1,220,1,1.1111,1,1,train
1069,2024-05-02,Pesto Penne,Pasta,Mid-range,A,Dynamic Pricing Target,0,3,0,1170,0,0,0,0,1,1,0,0,0,35.5,49,0,0,1,0,15,1,399,1,73.3333,0,1,train
