Item_Name,ABC_Class,Category,Price_Tier,Segment,Base_Price_₹,Time_Slot,Day_Type,Weather_State,Signal_Footfall,Signal_Weather,Signal_SlotDay,Demand_Verdict,Recommended_Price_₹,Price_Change_%,Direction,Review_Flag,Elasticity_Coefficient,Rain_Boost_Flag
Jalapeño Cheese Fondue,A,Fondue,Premium,Dynamic Pricing Target,695,Morning,Weekday,Dry Day,NORMAL,NORMAL,LOW,NORMAL,695,0.0,HOLD,REVIEW_REQUIRED,3.3333,False
Jalapeño Cheese Fondue,A,Fondue,Premium,Dynamic Pricing Target,695,Morning,Weekday,Light Drizzle,NORMAL,NORMAL,LOW,NORMAL,695,0.0,HOLD,REVIEW_REQUIRED,3.3333,False
Jalapeño Cheese Fondue,A,Fondue,Premium,Dynamic Pricing Target,695,Morning,Weekday,Heavy Rain,NORMAL,LOW,LOW,LOW,620,-10.79,DECREASE,REVIEW_REQUIRED,3.3333,False
Jalapeño Cheese Fondue,A,Fondue,Premium,Dynamic Pricing Target,695,Morning,Weekday,Clear After Rain,NORMAL,HIGH,LOW,NORMAL,695,0.0,HOLD,REVIEW_REQUIRED,3.3333,False
Jalapeño Cheese Fondue,A,Fondue,Premium,Dynamic Pricing Target,695,Morning,Weekend,Dry Day,NORMAL,NORMAL,NORMAL,NORMAL,695,0.0,HOLD,REVIEW_REQUIRED,3.3333,False
Jalapeño Cheese Fondue,A,Fondue,Premium,Dynamic Pricing Target,695,Morning,Weekend,Light Drizzle,NORMAL,NORMAL,NORMAL,NORMAL,695,0.0,HOLD,REVIEW_REQUIRED,3.3333,False
Jalapeño Cheese Fondue,A,Fondue,Premium,Dynamic Pricing Target,695,Morning,Weekend,Heavy Rain,NORMAL,LOW,NORMAL,NORMAL,695,0.0,HOLD,REVIEW_REQUIRED,3.3333,False
Jalapeño Cheese Fondue,A,Fondue,Premium,Dynamic Pricing Target,695,Morning,Weekend,Clear After Rain,NORMAL,HIGH,NORMAL,NORMAL,695,0.0,HOLD,REVIEW_REQUIRED,3.3333,False
Jalapeño Cheese Fondue,A,Fondue,Premium,Dynamic Pricing Target,695,Afternoon,Weekday,Dry Day,NORMAL,NORMAL,LOW,NORMAL,695,0.0,HOLD,REVIEW_REQUIRED,3.3333,False
Jalapeño Cheese Fondue,A,Fondue,Premium,Dynamic Pricing Target,695,Afternoon,Weekday,Light Drizzle,NORMAL,NORMAL,LOW,NORMAL,695,0.0,HOLD,REVIEW_REQUIRED,3.3333,False
Jalapeño Cheese Fondue,A,Fondue,Premium,Dynamic Pricing Target,695,Afternoon,Weekday,Heavy Rain,NORMAL,LOW,LOW,LOW,620,-10.79,DECREASE,REVIEW_REQUIRED,3.3333,False
Jalapeño Cheese Fondue,A,Fondue,Premium,Dynamic Pricing Target,695,Afternoon,Weekday,Clear After Rain,NORMAL,HIGH,LOW,NORMAL,695,0.0,HOLD,REVIEW_REQUIRED,3.3333,False
Jalapeño Cheese Fondue,A,Fondue,Premium,Dynamic Pricing Target,695,Afternoon,Weekend,Dry Day,NORMAL,NORMAL,NORMAL,NORMAL,695,0.0,HOLD,REVIEW_REQUIRED,3.3333,False
Jalapeño Cheese Fondue,A,Fondue,Premium,Dynamic Pricing Target,695,Afternoon,Weekend,Light Drizzle,NORMAL,NORMAL,NORMAL,NORMAL,695,0.0,HOLD,REVIEW_REQUIRED,3.3333,False
Jalapeño Cheese Fondue,A,Fondue,Premium,Dynamic Pricing Target,695,Afternoon,Weekend,Heavy Rain,NORMAL,LOW,NORMAL,NORMAL,695,0.0,HOLD,REVIEW_REQUIRED,3.3333,False
Jalapeño Cheese Fondue,A,Fondue,Premium,Dynamic Pricing Target,695,Afternoon,Weekend,Clear After Rain,NORMAL,HIGH,NORMAL,NORMAL,695,0.0,HOLD,REVIEW_REQUIRED,3.3333,False
Jalapeño Cheese Fondue,A,Fondue,Premium,Dynamic Pricing Target,695,Evening,Weekday,Dry Day,NORMAL,NORMAL,NORMAL,NORMAL,695,0.0,HOLD,REVIEW_REQUIRED,3.3333,False
Jalapeño Cheese Fondue,A,Fondue,Premium,Dynamic Pricing Target,695,Evening,Weekday,Light Drizzle,NORMAL,NORMAL,NORMAL,NORMAL,695,0.0,HOLD,REVIEW_REQUIRED,3.3333,False
Jalapeño Cheese Fondue,A,Fondue,Premium,Dynamic Pricing Target,695,Evening,Weekday,Heavy Rain,NORMAL,LOW,NORMAL,NORMAL,695,0.0,HOLD,REVIEW_REQUIRED,3.3333,False
Jalapeño Cheese Fondue,A,Fondue,Premium,Dynamic Pricing Target,695,Evening,Weekday,Clear After Rain,NORMAL,HIGH,NORMAL,NORMAL,695,0.0,HOLD,REVIEW_REQUIRED,3.3333,False
Jalapeño Cheese Fondue,A,Fondue,Premium,Dynamic Pricing Target,695,Evening,Weekend,Dry Day,NORMAL,NORMAL,HIGH,NORMAL,695,0.0,HOLD,REVIEW_REQUIRED,3.3333,False
Jalapeño Cheese Fondue,A,Fondue,Premium,Dynamic Pricing Target,695,Evening,Weekend,Light Drizzle,NORMAL,NORMAL,HIGH,NORMAL,695,0.0,HOLD,REVIEW_REQUIRED,3.3333,False
Jalapeño Cheese Fondue,A,Fondue,Premium,Dynamic Pricing Target,695,Evening,Weekend,Heavy Rain,NORMAL,LOW,HIGH,NORMAL,695,0.0,HOLD,REVIEW_REQUIRED,3.3333,False
Jalapeño Cheese Fondue,A,Fondue,Premium,Dynamic Pricing Target,695,Evening,Weekend,Clear After Rain,NORMAL,HIGH,HIGH,HIGH,790,13.67,INCREASE,REVIEW_REQUIRED,3.3333,False
Jalapeño Cheese Fondue,A,Fondue,Premium,Dynamic Pricing Target,695,Dinner,Weekday,Dry Day,NORMAL,NORMAL,HIGH,NORMAL,695,0.0,HOLD,REVIEW_REQUIRED,3.3333,False
Jalapeño Cheese Fondue,A,Fondue,Premium,Dynamic Pricing Target,695,Dinner,Weekday,Light Drizzle,NORMAL,NORMAL,HIGH,NORMAL,695,0.0,HOLD,REVIEW_REQUIRED,3.3333,False
Jalapeño Cheese Fondue,A,Fondue,Premium,Dynamic Pricing Target,695,Dinner,Weekday,Heavy Rain,NORMAL,LOW,HIGH,NORMAL,695,0.0,HOLD,REVIEW_REQUIRED,3.3333,False
Jalapeño Cheese Fondue,A,Fondue,Premium,Dynamic Pricing Target,695,Dinner,Weekday,Clear After Rain,NORMAL,HIGH,HIGH,HIGH,790,13.67,INCREASE,REVIEW_REQUIRED,3.3333,False
Jalapeño Cheese Fondue,A,Fondue,Premium,Dynamic Pricing Target,695,Dinner,Weekend,Dry Day,NORMAL,NORMAL,HIGH,NORMAL,695,0.0,HOLD,REVIEW_REQUIRED,3.3333,False
Jalapeño Cheese Fondue,A,Fondue,Premium,Dynamic Pricing Target,695,Dinner,Weekend,Light Drizzle,NORMAL,NORMAL,HIGH,NORMAL,695,0.0,HOLD,REVIEW_REQUIRED,3.3333,False
